Date,Y_Date,Y
31-01-2017,31-01-2017,20000.0
02-01-2017,01-02-2017,20050.0
02-02-2017,02-02-2017,20050.0
02-03-2017,03-02-2017,20100.0
02-06-2017,06-02-2017,20200.0
02-07-2017,07-02-2017,20350.0
02-08-2017,08-02-2017,20400.0
02-09-2017,09-02-2017,20450.0
02-10-2017,10-02-2017,20250.0
14-02-2017,14-02-2017,20300.0
15-02-2017,15-02-2017,20300.0
16-02-2017,16-02-2017,20350.0
17-02-2017,17-02-2017,20400.0
21-02-2017,20-02-2017,20400.0
22-02-2017,22-02-2017,20400.0
23-02-2017,23-02-2017,20400.0
24-02-2017,24-02-2017,20550.0
27-02-2017,27-02-2017,20650.0
28-02-2017,28-02-2017,20600.0
03-01-2017,01-03-2017,20700.0
03-02-2017,02-03-2017,20650.0
03-03-2017,03-03-2017,20500.0
03-06-2017,06-03-2017,20500.0
03-07-2017,07-03-2017,20400.0
03-08-2017,08-03-2017,20300.0
03-09-2017,09-03-2017,20250.0
03-10-2017,10-03-2017,20100.0
13-03-2017,13-03-2017,20150.0
14-03-2017,14-03-2017,20150.0
15-03-2017,15-03-2017,20100.0
16-03-2017,16-03-2017,20350.0
17-03-2017,17-03-2017,20350.0
20-03-2017,20-03-2017,20300.0
21-03-2017,21-03-2017,20250.0
22-03-2017,22-03-2017,20500.0
23-03-2017,23-03-2017,20450.0
24-03-2017,24-03-2017,20450.0
27-03-2017,27-03-2017,20500.0
28-03-2017,28-03-2017,20450.0
29-03-2017,29-03-2017,20450.0
30-03-2017,30-03-2017,20450.0
31-03-2017,31-03-2017,20300.0
04-03-2017,03-04-2017,20300.0
04-04-2017,04-04-2017,20450.0
04-05-2017,05-04-2017,20500.0
04-07-2017,07-04-2017,20800.0
04-10-2017,10-04-2017,20600.0
04-11-2017,11-04-2017,20600.0
04-12-2017,12-04-2017,20850.0
17-04-2017,17-04-2017,20950.0
18-04-2017,18-04-2017,20900.0
19-04-2017,19-04-2017,20900.0
20-04-2017,20-04-2017,20850.0
21-04-2017,24-04-2017,20800.0
24-04-2017,25-04-2017,20750.0
25-04-2017,26-04-2017,20650.0
26-04-2017,27-04-2017,20700.0
27-04-2017,02-05-2017,20600.0
28-04-2017,03-05-2017,20550.0
05-02-2017,04-05-2017,20400.0
05-03-2017,08-05-2017,20250.0
05-04-2017,09-05-2017,20200.0
05-05-2017,11-05-2017,20150.0
05-08-2017,15-05-2017,20200.0
05-09-2017,16-05-2017,20200.0
05-11-2017,17-05-2017,20300.0
05-12-2017,18-05-2017,20550.0
15-05-2017,22-05-2017,20400.0
16-05-2017,23-05-2017,20550.0
17-05-2017,24-05-2017,20450.0
18-05-2017,25-05-2017,20450.0
19-05-2017,30-05-2017,20500.0
22-05-2017,31-05-2017,20400.0
23-05-2017,01-06-2017,20500.0
24-05-2017,05-06-2017,20600.0
25-05-2017,06-06-2017,20650.0
26-05-2017,07-06-2017,20800.0
30-05-2017,08-06-2017,20750.0
31-05-2017,12-06-2017,20500.0
06-01-2017,13-06-2017,20450.0
06-02-2017,14-06-2017,20400.0
06-05-2017,15-06-2017,20100.0
06-06-2017,19-06-2017,20150.0
06-07-2017,20-06-2017,20100.0
06-08-2017,21-06-2017,20100.0
06-09-2017,22-06-2017,20200.0
06-12-2017,26-06-2017,20200.0
13-06-2017,27-06-2017,20050.0
14-06-2017,28-06-2017,20150.0
15-06-2017,29-06-2017,20150.0
16-06-2017,03-07-2017,20000.0
19-06-2017,05-07-2017,19800.0
20-06-2017,06-07-2017,19800.0
21-06-2017,11-07-2017,19650.0
22-06-2017,12-07-2017,19650.0
23-06-2017,13-07-2017,19700.0
26-06-2017,17-07-2017,19700.0
27-06-2017,18-07-2017,19700.0
28-06-2017,19-07-2017,19800.0
29-06-2017,20-07-2017,19750.0
