Y,DJI,Set_One,GBP_THB,EURUSD,Oil,XAG,XAU_XAG,Rhodium,Copper,SP_FIVE,JPY_THB,BVN ,Set,NYSE,USD_THB,TenBond_THB
32050,33828.34,2100.4,42.88,1.1042,78.74,25.1165,79.92,"8,640.00",3.891,"4,075.29",0.2557,7.21,"1,543.29","15,228.60",34.15,2.49
32150,33805.04,2096.01,42.75,1.0972,77.97,25.0671,79.72,"8,390.00",3.857,"4,087.78",0.2568,7.29,"1,557.80","15,363.50",34.4,2.44
32350,33793.6,2109.74,42.7,1.1046,77.13,25.2416,79.19,"7,990.00",3.866,"4,126.43",0.2558,7.34,"1,555.76","15,606.70",34.36,2.44
32350,33740.6,2133.12,42.87,1.0991,78.87,25.2446,79,"7,890.00",3.9735,"4,132.07",0.2564,7.56,"1,563.91","15,578.90",34.39,2.55
32300,33889.83,2143.89,42.62,1.097,80.92,25.2066,79.41,"7,890.00",3.99,"4,132.14",0.256,7.51,"1,579.98","15,582.90",34.33,2.55
32450,33965.16,2162.93,42.69,1.0956,81,25.07,78.96,"7,890.00",4.0275,"4,130.48",0.2557,7.51,"1,588.90","15,653.60",34.44,2.53
32350,33930.46,2152.44,42.51,1.0972,82.48,25.3093,79.54,"7,890.00",4.076,"4,139.33",0.2558,7.77,"1,600.16","15,685.00",34.28,2.53
32500,33764.21,2161.75,42.59,1.0924,81.44,25.1232,79.72,"7,890.00",4.0935,"4,164.26",0.2566,7.87,"1,593.09","15,668.30",34.5,2.77
32500,33425.25,2129.02,42.44,1.099,80.5,24.9035,79.09,"7,490.00",4.0785,"4,137.17",0.2558,7.75,"1,597.59","15,601.80",34.29,2.77
32500,33394.6,2152.02,42.57,1.0913,81.01,24.9909,80,"7,790.00",4.112,"4,121.72",0.2564,7.93,"1,577.39","15,520.90",34.28,2.7
32500,33594.79,2163.55,42.47,1.0901,80.44,23.985,80.41,"7,290.00",4.0295,"4,085.20",0.2582,8.24,"1,601.89","15,379.10",34.16,2.88
32300,32901.96,2171.44,42.28,1.0901,74.37,23.8221,82.85,"7,890.00",4.018,"4,128.03",0.2585,8.37,"1,607.00","15,487.80",34.22,2.86
32350,32807.43,2175.98,42.11,1.0906,72.98,23.3029,82.84,"8,190.00",4.053,"4,056.18",0.256,8.08,"1,611.64","15,200.60",34.13,2.88
32000,32566.54,2175.14,42.29,1.0844,73.61,23.2899,84.2,"8,340.00",4.112,"4,046.74",0.2577,8.29,"1,611.75","15,124.00",34.18,2.9
31850,32434.85,2161.11,42.29,1.0844,72.86,23.09,84.47,"8,340.00",4.0815,"3,999.53",0.2613,8.14,"1,600.82","14,949.30",34.26,2.97
31700,32276.72,2154.15,41.79,1.0797,69.42,23.275,84.69,"8,340.00",4.0765,"3,974.13",0.2623,8.2,"1,595.12","14,894.80",34.43,3.05
31800,32038.22,2157.33,41.82,1.0767,69.51,23.118,85.13,"8,290.00",4.097,"3,982.93",0.2606,8.2,"1,596.94","14,758.60",34.22,3.05
